"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"ahhh",4,4,1,3,1,2,1,1,4,5,4,2,2,7,4,0,1,3
"ahhhh",4,2,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0
"ahim",1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1
"aid",0,8,0,6,10,60,6,2,1,0,5,40,3,3,0,2,2,1
"aint",8,14,18,8,12,11,10,6,7,3,4,24,9,12,4,4,5,2
"aint gettin",0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
"aint gonna",1,2,2,1,0,1,1,2,0,0,0,1,2,1,0,0,0,1
"aint got",0,1,1,1,0,0,3,0,1,0,0,1,0,1,0,1,0,0
"aint never",0,2,0,0,1,0,1,0,0,0,0,6,0,0,1,0,0,0
"aint worth",0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
"air",9,8,6,2,10,4,3,1,0,32,5,1,9,3,2,3,2,6
"airlin",0,0,1,0,18,0,4,0,0,0,0,1,1,0,1,0,0,1
"airplan",0,0,1,0,1,5,1,0,0,0,1,0,2,0,1,2,0,0
"airport",0,0,1,0,5,2,0,1,4,4,0,0,1,1,0,0,4,0
"alabama",1,0,7,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"alarm",2,0,0,1,1,1,0,1,0,0,0,1,2,1,1,8,0,0
"album",1,2,4,0,5,3,42,0,1,0,0,0,0,0,3,0,0,0
"alcohol",3,9,3,2,0,4,0,0,17,5,0,1,1,3,2,1,0,4
"alert",0,1,0,0,0,1,0,0,0,4,5,0,1,9,1,0,0,0
"alien",19,3,15,0,2,1,26,1,10,4,2,2,22,17,30,0,0,0
"aliv",1,10,3,6,5,5,4,5,21,9,5,2,6,4,2,5,3,0
"allegi",0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,4,0
"alley",0,2,1,0,1,2,1,0,0,0,0,0,2,2,1,0,0,1
"allnew",1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1
"allow",2,3,11,4,13,4,17,4,8,7,6,4,3,6,5,10,6,8
"almost",9,18,6,13,9,16,7,8,8,13,18,12,10,14,6,13,5,9
"almost done",0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
"almost everi",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
"almost got",0,0,0,1,1,0,0,0,0,1,1,2,0,2,0,1,1,0
"almost like",1,1,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0
"alon",12,8,9,5,12,5,14,10,14,8,11,21,9,12,10,14,7,9
"alon im",1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"alon well",0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0
"along",7,11,6,14,8,10,14,16,9,4,5,12,2,5,5,5,3,4
"aloud",0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0
"alpha",0,0,4,0,0,1,0,0,0,0,1,0,1,1,0,1,0,5
"alreadi",10,11,13,23,19,12,15,12,17,13,13,18,8,12,9,15,15,15
"alreadi got",1,0,1,2,0,1,0,1,0,1,0,0,0,0,1,0,0,2
"alreadi know",0,0,1,1,1,0,2,0,0,0,1,0,0,2,1,0,1,0
"alreadi start",0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0
"alreadi told",0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
"alright",17,15,77,194,147,91,8,1,10,0,9,0,79,96,72,46,51,41
"alright alright",1,2,7,10,10,3,1,0,0,0,2,0,3,5,2,2,2,5
"alright boy",0,0,2,2,6,3,0,0,0,0,0,0,1,2,0,1,0,0
"alright butter",0,0,1,3,2,2,0,0,0,0,0,0,0,1,3,1,0,2
"alright cartman",0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0
"alright children",0,0,2,9,3,3,0,0,0,0,0,0,1,0,0,0,0,0
"alright come",0,0,1,4,2,2,0,0,0,0,0,0,0,2,0,1,0,3
"alright dude",0,1,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,2
"alright eric",0,1,1,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0
"alright everybodi",0,0,1,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"alright everyon",0,0,2,2,0,2,0,0,0,0,0,0,1,4,1,0,0,0
"alright fine",0,0,1,4,2,3,0,0,0,0,1,0,1,3,3,0,0,0
"alright get",0,0,1,1,0,0,0,0,1,0,0,0,1,2,2,0,0,0
"alright go",0,0,0,2,3,3,1,0,0,0,0,0,1,0,2,2,0,0
"alright gonna",0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"alright guess",0,0,1,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0
"alright guy",0,0,0,6,2,2,1,0,1,0,0,0,1,1,2,4,2,1
"alright ill",1,0,1,3,4,2,0,0,0,0,0,0,0,3,1,0,1,0
"alright im",0,0,1,2,2,1,1,0,0,0,0,0,2,2,0,0,0,3
"alright just",0,1,0,5,2,3,0,0,0,0,0,0,1,4,1,2,0,0
"alright kyle",0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,3,0,0
"alright let",0,0,6,5,9,5,0,0,0,0,1,0,4,2,5,2,2,1
"alright let go",0,0,1,0,5,1,0,0,0,0,0,0,1,1,2,0,0,0
"alright listen",0,0,0,0,4,1,0,0,0,0,0,0,1,0,1,0,3,1
"alright look",0,0,0,3,1,2,0,0,0,0,0,0,1,4,2,2,1,1
"alright now",0,0,1,5,6,5,0,0,0,0,0,0,4,4,3,0,5,0
"alright okay",0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"alright readi",0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0
"alright see",0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,0,0,0
"alright stan",0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,1
"alright think",0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1
"alright well",0,1,2,7,6,3,1,0,0,0,1,0,1,1,0,3,1,0
"alright yeah",1,0,0,2,3,1,0,0,0,0,0,0,0,2,2,0,1,1
"alrighti",4,3,4,4,0,2,2,0,0,0,0,0,0,1,1,0,1,0
"also",2,4,2,7,17,15,6,14,14,3,5,12,7,10,14,7,10,11
"also know",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
