"Character" "Season" "Episode"
" Principal Victoria
" "02" "05"
" Token Black
" "02" "05"
" Officer Barbrady
" "02" "05"
" Jimbo Kern
" "02" "05"
" Bob Thomas
" "02" "05"
" The Denver Cougars
" "02" "05"
" Kevin Stoley
" "02" "05"
" Chinese commentators
" "02" "05"
" The Chinese Dodgeball Team
" "02" "05"
"She's painting her house orange, and annoyed that Garrison is filming it.
" "02" "05"
"She looks out the window, and is annoyed that he is still there, filming.
" "02" "05"
"She's in her office.
" "02" "05"
"She's at the supermarket, annoyed, she's trying to cover the camera lens so Garrison would stop filming.
" "02" "05"
"At the post office, she's trying to shoo him away, she's very angry that he's filming her.
" "02" "05"
"She's on the toilet, and she clamps her legs shut, with hands before them for added security. She's outraged.
" "02" "05"
" Stan Marsh
" "02" "06"
" Kyle  Broflovski
" "02" "06"
" Eric Cartman
" "02" "06"
" Kenny McCormick
" "02" "06"
" Jimbo Kern
" "02" "06"
" Ned Gerblansky
" "02" "06"
" Huntin' and Killin'  Producer
" "02" "06"
" Huntin' and Killin'  Cameraman
" "02" "06"
" Mr. Garrison
" "02" "06"
" Mr. Hat
" "02" "06"
" Jesus Christ
" "02" "06"
" Jesus and Pals Producer
" "02" "06"
" Bob Denver
" "02" "06"
" Audience Members
" "02" "06"
" Satan
" "02" "06"
" Saddam Hussein
" "02" "06"
"Stan Marsh
" "02" "07"
"Kyle Broflovski
" "02" "07"
"Eric Cartman
" "02" "07"
"Kenny McCormick
" "02" "07"
"Clyde Donovan
" "02" "07"
"Boy In The Red Shirt
" "02" "07"
"Bebe Stevens
" "02" "07"
"Ms. Crabtree
" "02" "07"
"Truck Driver
" "02" "07"
"Talent Scout
" "02" "07"
"Marty Jonus
" "02" "07"
"Jay Leno
" "02" "07"
"Liane Cartman
" "02" "07"
"Sharon Marsh
" "02" "07"
"Randy Marsh
" "02" "07"
"Sheila Broflovski
" "02" "07"
"Gerald Broflovski
" "02" "07"
"Mr. Mackey
" "02" "07"
"The Scary Monster
" "02" "07"
"Aliens
" "02" "07"
"Scuzzlebutt
" "02" "07"
"Brent Musberger
" "02" "07"
"Kathie Lee Gifford (and the alien inside her)
" "02" "07"
"Dr. Alphonse Mephesto
" "02" "07"
"John Elway
" "02" "07"
"Death
" "02" "07"
"Marvin Marsh
" "02" "07"
"Arthur Fonzarelli and the Happy Days gang
" "02" "07"
"Carrot Ass
" "02" "07"
"Mayor McDaniels
" "02" "07"
" Stan Marsh
" "02" "08"
" Kyle Broflovski
" "02" "08"
" Eric Cartman
" "02" "08"
" Kenny McCormick 
" "02" "08"
" Mr. Garrison
" "02" "08"
" Mr. Hat
" "02" "08"
" Mr. Twig
" "02" "08"
" Mayor McDaniels
" "02" "08"
" Officer Barbrady
" "02" "08"
" Chef
" "02" "08"
" Stu
" "02" "08"
" Jimbo Kern
" "02" "08"
" Ned Gerblansky 
" "02" "08"
" Tom Pusslicker
" "02" "08"
" Creamy Goodness
" "02" "08"
" Charlie, the Dyno Might pitchman
" "02" "08"
" Swimming Instructor
" "02" "08"
" Dr. Katz
" "02" "08"
" Brett Favre Green Bay QB, No. 4 (cameo)
" "02" "08"
" Shari Lewis and Lamb Chop
" "02" "08"
" South Park Elementary Orchestra Conductor
" "02" "08"
"Stan Marsh
" "02" "09"
"Kyle Broflovski
" "02" "09"
"Eric Cartman
" "02" "09"
"Kenny McCormick
" "02" "09"
"Chef
" "02" "09"
"Mr. Hankey
" "02" "09"
"Robert Redford, Film Commissioner
" "02" "09"
"Phyllis
" "02" "09"
"Mr. Garrison and Mr. Twig
" "02" "09"
"Wendy Testaburger
" "02" "09"
"Various Directors (Director 3 is called Marty)
" "02" "09"
"Fred Savage
" "02" "09"
"Candice Butch
" "02" "09"
"Tom, reporter
" "02" "09"
"Tom Hanks
" "02" "09"
"A monkey playing Mr. Hankey
" "02" "09"
"Two Cowboys, one of them called Tom
" "02" "09"
" Stan Marsh
" "02" "10"
" Kyle Broflovski
" "02" "10"
" Eric Cartman
" "02" "10"
" Kenny McCormick
" "02" "10"
" Shelly Marsh
" "02" "10"
" Randy Marsh
" "02" "10"
" Sharon Marsh
" "02" "10"
" Gerald Broflovski
" "02" "10"
" Sheila Broflovski
" "02" "10"
" Ike Broflovski
" "02" "10"
" Liane Cartman
" "02" "10"
" Stuart McCormick
" "02" "10"
" Kevin McCormick
" "02" "10"
" Mrs. McCormick
" "02" "10"
" Mr. Garrison
" "02" "10"
" Dr. Doctor
" "02" "10"
" Terrance and Phillip
" "02" "10"
" Chef
" "02" "10"
" Frida, the aged Prostitute
" "02" "10"
"Stan Marsh
" "02" "11"
"Kyle Broflovski
" "02" "11"
"Eric Cartman
" "02" "11"
"Kenny McCormick
" "02" "11"
"Mr. Garrison and Mr. Twig
" "02" "11"
"The Classmates
" "02" "11"
"Officer Barbrady
" "02" "11"
"Chef
" "02" "11"
"Annie Knitts
" "02" "11"
"Butters Stotch
" "02" "11"
"Clyde Donovan
" "02" "11"
"Wendy Testaburger
" "02" "11"
"Fosse McDonald
" "02" "11"
"Veronica Crabtree
" "02" "11"
"Principal Victoria
" "02" "11"
"Mr. Mackey
" "02" "11"
"Nurse Gollum
" "02" "11"
"The Two Teens
" "02" "11"
"Dr. Tristan Adams
" "02" "11"
"Missy
" "02" "11"
"Simon van Gelder
" "02" "11"
"Liane Cartman
" "02" "11"
"Grandma Cartman
" "02" "11"
"Cheesy Poofs Commercial Hopefuls
" "02" "11"
"Cheesy Poofs Announcer
" "02" "11"
"Call-back Judges
" "02" "11"
"Cheesy Poofs Director
" "02" "11"
"Det. Barnaby Jones
" "02" "11"
"Police Commissioner
" "02" "11"
"A Poor Girl and Her Mom
" "02" "11"
" Stan Marsh
" "02" "12"
" Kyle Broflovski 
" "02" "12"
" Eric Cartman
" "02" "12"
" Kenny McCormick
" "02" "12"
" Wendy Testaburger
" "02" "12"
" Bebe Stevens
" "02" "12"
" Clyde Donovan
" "02" "12"
" Butters Stotch 
" "02" "12"
" Kevin Stoley
" "02" "12"
" Fosse McDonald
" "02" "12"
" Randy Marsh
" "02" "12"
" Sharon Marsh
" "02" "12"
" Liane Cartman
" "02" "12"
" Mr. Mackey
" "02" "12"
" Chef
" "02" "12"
" Roy, Sharon's new boyfriend
" "02" "12"
" Fifth Graders
" "02" "12"
" Runaway Girls
" "02" "12"
" Terrance and Phillip
" "02" "12"
" Fat Abbot and Friends
" "02" "12"
" Stan Marsh
" "02" "13"
" Kyle Broflovski
" "02" "13"
" Eric Cartman
" "02" "13"
" Kenny McCormick
" "02" "13"
" Mayor McDaniels
" "02" "13"
" Officer Barbrady
" "02" "13"
" Jimbo Kern
" "02" "13"
" Ned Gerblansky
" "02" "13"
" Sheila Broflovski
" "02" "13"
" Gerald Broflovski
" "02" "13"
" Mr. Garrison and Mr. Twig
" "02" "13"
" Cows
" "02" "13"
" Father Maxi
" "02" "13"
